Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Alphaville (Alphaville, une étrange aventure de Lemmy Caution), year: (1965)}
{title: Clean Slate (Coup de Torchon), year: (1981)}
{title: Tigrero: A Film That Was Never Made, year: (1994)}
{title: Eye of Vichy, The (L'Oeil de Vichy), year: (1993)}
{title: Windows, year: (1980)}
{title: It's My Party, year: (1996)}
{title: Country Life, year: (1994)}
{title: Operation Dumbo Drop, year: (1995)}
{title: Promise, The (Das Versprechen), year: (1995)}
{title: Mrs. Winterbourne, year: (1996)}
{title: Solo, year: (1996)}
{title: Under the Domim Tree (Etz Hadomim Tafus), year: (1994)}
{title: Substitute, The, year: (1996)}
{title: True Crime, year: (1996)}
{title: Butterfly Kiss, year: (1995)}
{title: Feeling Minnesota, year: (1996)}
{title: Delta of Venus, year: (1995)}
{title: To Cross the Rubicon, year: (1991)}
{title: Angus, year: (1995)}
{title: Daens, year: (1992)}
{title: Faces, year: (1968)}
{title: Boys, year: (1996)}
{title: Quest, The, year: (1996)}
{title: Cosi, year: (1996)}
{title: Sunset Park, year: (1996)}
{title: Mulholland Falls, year: (1996)}
{title: Truth About Cats & Dogs, The, year: (1996)}
{title: Oliver & Company, year: (1988)}
{title: Celtic Pride, year: (1996)}
{title: Flipper, year: (1996)}
{title: Captives, year: (1994)}
{title: Of Love and Shadows, year: (1994)}
{title: Dead Man, year: (1995)}
{title: Horseman on the Roof, The (Hussard sur le toit, Le), year: (1995)}
{title: Switchblade Sisters, year: (1975)}
{title: Mouth to Mouth (Boca a boca), year: (1995)}
{title: Visitors, The (Les Visiteurs), year: (1993)}
{title: Multiplicity, year: (1996)}
{title: Wallace & Gromit: The Best of Aardman Animation, year: (1996)}
{title: Halfmoon (Paul Bowles - Halbmond), year: (1995)}
{title: Haunted World of Edward D. Wood Jr., The, year: (1996)}
{title: Two Friends, year: (1986)}
{title: Craft, The, year: (1996)}
{title: Great White Hype, The, year: (1996)}
{title: Last Dance, year: (1996)}
{title: War Stories, year: (1995)}
{title: Cold Comfort Farm, year: (1995)}
{title: Institute Benjamenta, or This Dream People Call Human Life, year: (1995)}
{title: Low Life, year: (1994)}
{title: Heaven's Prisoners, year: (1996)}
{title: Original Gangstas, year: (1996)}
{title: Rock, The, year: (1996)}
{title: Getting Away With Murder, year: (1996)}
{title: Cemetery Man (Dellamorte Dellamore), year: (1994)}
{title: Twister, year: (1996)}
{title: Barb Wire, year: (1996)}
738::Garçu, Le (1995)::Drama
{title: Honey Moon (Honigmond), year: (1996)}
741::Ghost in the Shell (Kôkaku kidôtai) (1995)::Animation|Sci-Fi
{title: Thinner, year: (1996)}
{title: Spy Hard, year: (1996)}
{title: Brothers in Trouble, year: (1995)}
{title: Wallace & Gromit: A Close Shave, year: (1995)}
{title: Force of Evil, year: (1948)}
{title: Stupids, The, year: (1996)}
{title: Arrival, The, year: (1996)}
{title: Man from Down Under, The, year: (1943)}
{title: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, year: (1964)}
{title: Careful, year: (1992)}
{title: Vermont Is For Lovers, year: (1992)}
{title: Month by the Lake, A, year: (1995)}
{title: Gold Diggers: The Secret of Bear Mountain, year: (1995)}
{title: Kim, year: (1950)}
{title: Carmen Miranda: Bananas Is My Business, year: (1994)}
{title: Ashes of Time (Dung che sai duk), year: (1994)}
{title: Jar, The (Khomreh), year: (1992)}
{title: Maya Lin: A Strong Clear Vision, year: (1994)}
{title: Stalingrad, year: (1993)}
{title: Phantom, The, year: (1996)}
{title: Striptease, year: (1996)}
{title: Last of the High Kings, The (a.k.a. Summer Fling), year: (1996)}
{title: Heavy, year: (1995)}
{title: Jack, year: (1996)}
{title: I Shot Andy Warhol, year: (1996)}
{title: Grass Harp, The, year: (1995)}
{title: Someone Else's America, year: (1995)}
{title: Marlene Dietrich: Shadow and Light, year: (1996)}
{title: Costa Brava, year: (1946)}
{title: Life Is Rosy (a.k.a. Life Is Beautiful) (La Vie est belle), year: (1987)}
{title: Quartier Mozart, year: (1992)}
{title: Touki Bouki, year: (1973)}
{title: Wend Kuuni (a.k.a. God's Gift), year: (1982)}
{title: Spirits of the Dead (Histoires extraordinaires), year: (1968)}
{title: Babyfever, year: (1994)}
{title: Pharaoh's Army, year: (1995)}
{title: Trainspotting, year: (1996)}
{title: 'Til There Was You, year: (1997)}
{title: Independence Day (a.k.a. ID4), year: (1996)}
{title: Stealing Beauty, year: (1996)}
{title: Fan, The, year: (1996)}
{title: Hunchback of Notre Dame, The, year: (1996)}
{title: Cable Guy, The, year: (1996)}
{title: Kingpin, year: (1996)}
{title: Eraser, year: (1996)}
{title: Gate of Heavenly Peace, The, year: (1995)}
{title: Nutty Professor, The, year: (1996)}
{title: I, the Worst of All (Yo, la peor de todas), year: (1990)}
{title: Unforgettable Summer, An (Un été inoubliable), year: (1994)}
{title: Last Klezmer: Leopold Kozlowski, His Life and Music, The, year: (1994)}
{title: Hungarian Fairy Tale, A (Hol volt, hol nem volt), year: (1987)}
{title: My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud), year: (1993)}
{title: Midnight Dancers (Sibak), year: (1994)}
{title: Somebody to Love, year: (1994)}
{title: Very Natural Thing, A, year: (1974)}
{title: Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La), year: (1991)}
{title: Daylight, year: (1996)}
{title: Frighteners, The, year: (1996)}
{title: Lone Star, year: (1996)}
{title: Harriet the Spy, year: (1996)}
{title: Phenomenon, year: (1996)}
{title: Walking and Talking, year: (1996)}
{title: She's the One, year: (1996)}
{title: Time to Kill, A, year: (1996)}
{title: American Buffalo, year: (1996)}
{title: Rendezvous in Paris (Rendez-vous de Paris, Les), year: (1995)}
{title: Alaska, year: (1996)}
{title: Fled, year: (1996)}
{title: Kazaam, year: (1996)}
{title: Magic Hunter (Büvös vadász), year: (1994)}
{title: Larger Than Life, year: (1996)}
{title: Boy Called Hate, A, year: (1995)}
{title: Power 98, year: (1996)}
{title: Two Deaths, year: (1995)}
{title: Very Brady Sequel, A, year: (1996)}
{title: Stefano Quantestorie, year: (1993)}
{title: Death in the Garden (La Mort en ce jardin), year: (1956)}
{title: Crude Oasis, The, year: (1995)}
{title: Hedd Wyn, year: (1992)}
{title: Collectionneuse, La, year: (1967)}
{title: Kaspar Hauser, year: (1993)}
{title: Regular Guys (Echte Kerle), year: (1996)}
{title: Women Robbers (Diebinnen), year: (1995)}
{title: Convent, The (O Convento), year: (1995)}
{title: Adventures of Pinocchio, The, year: (1996)}
{title: Joe's Apartment, year: (1996)}
{title: First Wives Club, The, year: (1996)}
{title: Stonewall, year: (1995)}
{title: Ransom, year: (1996)}
{title: High School High, year: (1996)}
{title: Phat Beach, year: (1996)}
{title: Foxfire, year: (1996)}
{title: Chain Reaction, year: (1996)}
{title: Matilda, year: (1996)}
{title: Emma, year: (1996)}
{title: Crow: City of Angels, The, year: (1996)}
{title: House Arrest, year: (1996)}
{title: Eyes Without a Face (Les Yeux sans visage), year: (1959)}
{title: Bordello of Blood, year: (1996)}
{title: Lotto Land, year: (1995)}
{title: Story of Xinghua, The (Xinghua san yue tian), year: (1994)}
{title: Day the Sun Turned Cold, The (Tianguo niezi), year: (1994)}
{title: Flirt, year: (1995)}
{title: Big Squeeze, The, year: (1996)}
{title: Spitfire Grill, The, year: (1996)}
{title: Escape from L.A., year: (1996)}
{title: Cyclo (Xich lo), year: (1995)}
{title: Basquiat, year: (1996)}
{title: Tin Cup, year: (1996)}
{title: Dingo, year: (1991)}
{title: Ballad of Narayama (Narayama Bushiko), year: (1958)}
{title: Every Other Weekend (Un week-end sur deux), year: (1990)}
{title: Mille bolle blu, year: (1993)}
{title: Crows and Sparrows (Wuya yu maque), year: (1949)}
{title: Godfather, The, year: (1972)}
{title: Hippie Revolution, The, year: (1996)}
{title: Maybe, Maybe Not (Der Bewegte Mann), year: (1994)}
{title: Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha), year: (1992)}
{title: Manny & Lo, year: (1996)}
{title: Wife, The, year: (1995)}
{title: Small Faces, year: (1996)}
{title: Bound, year: (1996)}
{title: Carpool, year: (1996)}
{title: Death in Brunswick, year: (1991)}
{title: Kansas City, year: (1996)}
{title: Gone Fishin', year: (1997)}
{title: Lover's Knot, year: (1996)}
{title: Vive L'Amour (Aiqing wansui), year: (1994)}
{title: Shadow of Angels (Schatten der Engel), year: (1976)}
{title: Killer: A Journal of Murder, year: (1995)}
{title: Nothing to Lose, year: (1994)}
{title: Supercop 2 (Project S) (Chao ji ji hua), year: (1993)}
{title: Girls Town, year: (1996)}
{title: Bye-Bye, year: (1995)}
{title: Relic, The, year: (1997)}
{title: Island of Dr. Moreau, The, year: (1996)}
{title: First Kid, year: (1996)}
{title: Trigger Effect, The, year: (1996)}
{title: Sweet Nothing, year: (1996)}
{title: Bogus, year: (1996)}
{title: Bulletproof, year: (1996)}
{title: Talk of Angels, year: (1998)}
{title: Land Before Time III: The Time of the Great Giving, year: (1995)}
{title: 1-900 (06), year: (1994)}
890::Baton Rouge (Bâton rouge) (1988)::Thriller
{title: Halloween: The Curse of Michael Myers, year: (1995)}
{title: Twelfth Night, year: (1996)}
{title: Mother Night, year: (1996)}
{title: Liebelei, year: (1933)}
{title: Venice/Venice, year: (1992)}
{title: Wild Reeds (Les Roseaux sauvages), year: (1994)}
{title: For Whom the Bell Tolls, year: (1943)}
{title: Philadelphia Story, The, year: (1940)}
{title: Singin' in the Rain, year: (1952)}
{title: American in Paris, An, year: (1951)}
{title: Funny Face, year: (1957)}
{title: Breakfast at Tiffany's, year: (1961)}
{title: Vertigo, year: (1958)}
{title: Rear Window, year: (1954)}
{title: It Happened One Night, year: (1934)}
{title: Gaslight, year: (1944)}
{title: Gay Divorcee, The, year: (1934)}
{title: North by Northwest, year: (1959)}
{title: Apartment, The, year: (1960)}
{title: Some Like It Hot, year: (1959)}
{title: Charade, year: (1963)}
{title: Casablanca, year: (1942)}
{title: Maltese Falcon, The, year: (1941)}
{title: My Fair Lady, year: (1964)}
{title: Sabrina, year: (1954)}
{title: Roman Holiday, year: (1953)}
{title: Little Princess, The, year: (1939)}
{title: Meet Me in St. Louis, year: (1944)}
{title: Wizard of Oz, The, year: (1939)}
{title: Gone with the Wind, year: (1939)}
{title: My Favorite Year, year: (1982)}
{title: Sunset Blvd. (a.k.a. Sunset Boulevard), year: (1950)}
{title: Citizen Kane, year: (1941)}
{title: 2001: A Space Odyssey, year: (1968)}
{title: Golden Earrings, year: (1947)}
{title: All About Eve, year: (1950)}
{title: Women, The, year: (1939)}
{title: Rebecca, year: (1940)}
{title: Foreign Correspondent, year: (1940)}
{title: Notorious, year: (1946)}
{title: Spellbound, year: (1945)}
{title: Affair to Remember, An, year: (1957)}
{title: To Catch a Thief, year: (1955)}
{title: Father of the Bride, year: (1950)}
{title: Band Wagon, The, year: (1953)}
{title: Ninotchka, year: (1939)}
{title: Love in the Afternoon, year: (1957)}
{title: Gigi, year: (1958)}
{title: Reluctant Debutante, The, year: (1958)}
{title: Adventures of Robin Hood, The, year: (1938)}
{title: Mark of Zorro, The, year: (1940)}
{title: Laura, year: (1944)}
{title: Ghost and Mrs. Muir, The, year: (1947)}
{title: Lost Horizon, year: (1937)}
{title: Top Hat, year: (1935)}
{title: To Be or Not to Be, year: (1942)}
{title: My Man Godfrey, year: (1936)}
{title: Giant, year: (1956)}
{title: East of Eden, year: (1955)}
{title: Thin Man, The, year: (1934)}
{title: His Girl Friday, year: (1940)}
{title: Around the World in 80 Days, year: (1956)}
{title: It's a Wonderful Life, year: (1946)}
{title: Mr. Smith Goes to Washington, year: (1939)}
{title: Bringing Up Baby, year: (1938)}
{title: Penny Serenade, year: (1941)}
{title: Scarlet Letter, The, year: (1926)}
{title: Lady of Burlesque, year: (1943)}
{title: Of Human Bondage, year: (1934)}
{title: Angel on My Shoulder, year: (1946)}
{title: Little Lord Fauntleroy, year: (1936)}
{title: They Made Me a Criminal, year: (1939)}
{title: Inspector General, The, year: (1949)}
{title: Angel and the Badman, year: (1947)}
{title: 39 Steps, The, year: (1935)}
{title: Walk in the Sun, A, year: (1945)}
{title: Outlaw, The, year: (1943)}
{title: Night of the Living Dead, year: (1968)}
{title: African Queen, The, year: (1951)}
{title: Beat the Devil, year: (1953)}
{title: Cat on a Hot Tin Roof, year: (1958)}
{title: Last Time I Saw Paris, The, year: (1954)}
{title: Meet John Doe, year: (1941)}
{title: Algiers, year: (1938)}
{title: Something to Sing About, year: (1937)}
{title: Farewell to Arms, A, year: (1932)}
{title: Moonlight Murder, year: (1936)}
{title: Nothing Personal, year: (1995)}
{title: Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie), year: (1985)}
{title: Dangerous Ground, year: (1997)}
{title: Picnic, year: (1955)}
{title: Madagascar Skin, year: (1995)}
{title: Pompatus of Love, The, year: (1996)}
{title: Small Wonders, year: (1995)}
{title: Fly Away Home, year: (1996)}
{title: Bliss, year: (1997)}
{title: Grace of My Heart, year: (1996)}
{title: Brother of Sleep (Schlafes Bruder), year: (1995)}
{title: Maximum Risk, year: (1996)}
{title: Michael Collins, year: (1996)}
{title: Rich Man's Wife, The, year: (1996)}
{title: Infinity, year: (1996)}
{title: Big Night, year: (1996)}
{title: Last Man Standing, year: (1996)}
{title: Caught, year: (1996)}
{title: Set It Off, year: (1996)}
{title: 2 Days in the Valley, year: (1996)}
{title: Curdled, year: (1996)}
{title: Associate, The (Associé, L'), year: (1979)}
{title: Ed's Next Move, year: (1996)}
{title: Extreme Measures, year: (1996)}
{title: Glimmer Man, The, year: (1996)}
{title: D3: The Mighty Ducks, year: (1996)}
{title: Chamber, The, year: (1996)}
{title: Apple Dumpling Gang, The, year: (1975)}
{title: Davy Crockett, King of the Wild Frontier, year: (1955)}
{title: Escape to Witch Mountain, year: (1975)}
{title: Love Bug, The, year: (1969)}
{title: Herbie Rides Again, year: (1974)}
{title: Old Yeller, year: (1957)}
{title: Parent Trap, The, year: (1961)}
{title: Pollyanna, year: (1960)}
{title: Homeward Bound: The Incredible Journey, year: (1993)}
{title: Shaggy Dog, The, year: (1959)}
{title: Swiss Family Robinson, year: (1960)}
{title: That Darn Cat!, year: (1965)}
{title: 20,000 Leagues Under the Sea, year: (1954)}
{title: Cool Runnings, year: (1993)}
{title: Angels in the Outfield, year: (1994)}
{title: Cinderella, year: (1950)}
{title: Winnie the Pooh and the Blustery Day, year: (1968)}
{title: Three Caballeros, The, year: (1945)}
{title: Sword in the Stone, The, year: (1963)}
{title: So Dear to My Heart, year: (1949)}
{title: Robin Hood: Prince of Thieves, year: (1991)}
{title: Mary Poppins, year: (1964)}
{title: Dumbo, year: (1941)}
{title: Pete's Dragon, year: (1977)}
{title: Bedknobs and Broomsticks, year: (1971)}
{title: Alice in Wonderland, year: (1951)}
{title: Fox and the Hound, The, year: (1981)}
{title: Freeway, year: (1996)}
{title: Sound of Music, The, year: (1965)}
{title: Die Hard, year: (1988)}
{title: Lawnmower Man, The, year: (1992)}
{title: Unhook the Stars, year: (1996)}
{title: Synthetic Pleasures, year: (1995)}
{title: Secret Agent, The, year: (1996)}
{title: Secrets & Lies, year: (1996)}
{title: That Thing You Do!, year: (1996)}
{title: To Gillian on Her 37th Birthday, year: (1996)}
{title: Surviving Picasso, year: (1996)}
{title: Love Is All There Is, year: (1996)}
{title: Beautiful Thing, year: (1996)}
{title: Long Kiss Goodnight, The, year: (1996)}
{title: Ghost and the Darkness, The, year: (1996)}
{title: Looking for Richard, year: (1996)}
{title: Trees Lounge, year: (1996)}
{title: Proprietor, The, year: (1996)}
{title: Normal Life, year: (1996)}
{title: Get on the Bus, year: (1996)}
{title: Shadow Conspiracy, year: (1997)}
{title: Jude, year: (1996)}
{title: Everyone Says I Love You, year: (1996)}
{title: Bitter Sugar (Azúcar amarga), year: (1996)}
1059::William Shakespeare's Romeo + Juliet (1996)::Drama|Romance
{title: Swingers, year: (1996)}
{title: Sleepers, year: (1996)}
{title: Sunchaser, The, year: (1996)}
{title: Johns, year: (1996)}
{title: Aladdin and the King of Thieves, year: (1996)}
{title: Woman in Question, The, year: (1950)}
{title: Shall We Dance, year: (1937)}
{title: Damsel in Distress, A, year: (1937)}
{title: Crossfire, year: (1947)}
{title: Murder, My Sweet, year: (1944)}
{title: Macao, year: (1952)}
{title: For the Moment, year: (1994)}
{title: Willy Wonka & the Chocolate Factory, year: (1971)}
{title: Sexual Life of the Belgians, The (La Vie sexuelle des Belges 1950-1978), year: (1994)}
{title: Innocents, The, year: (1961)}
{title: Sleeper, year: (1973)}
{title: Bananas, year: (1971)}
{title: Fish Called Wanda, A, year: (1988)}
{title: Monty Python's Life of Brian, year: (1979)}
{title: Victor/Victoria, year: (1982)}
{title: Candidate, The, year: (1972)}
{title: Great Race, The, year: (1965)}
{title: Bonnie and Clyde, year: (1967)}
{title: Old Man and the Sea, The, year: (1958)}
{title: Dial M for Murder, year: (1954)}
{title: Madame Butterfly, year: (1995)}
{title: Dirty Dancing, year: (1987)}
{title: Reservoir Dogs, year: (1992)}
{title: Platoon, year: (1986)}
